                                     REPORTE PEDIDOS
        Codigo        Fecha          DNI            Cantidad
        OPT-996       20230821       69639726              3
        ZAF-449       20230821       26233063              2
        QFP-254       20230821       71463316              6
        RAH-420       20230821       15561764              4
        OPJ-039       20230821       90365520              1
        CIM-038       20230821       11602775              4
        BWD-036       20230821       77191257              5
        VDD-853       20230821       49087435              2
        PJG-338       20230821       49087435              1
        VVS-017       20230821       45877001              4
        TMN-884       20230821       79140840              5
        QHC-492       20230821       98140264              4
        WLL-607       20230821       91897732              1
        KWP-672       20230821       90365520              6
        JJN-837       20230821       71984468              5
        SJQ-827       20230821       49087435              1
        HFM-021       20230821       15210391              1
        IHG-413       20230821       17913944              4
        UTN-601       20230821       17972674              1
        PVZ-181       20230821       90237332              5
        XZR-640       20230821       49087435              6
        UWA-476       20230821       37110873              2
        VCL-867       20230821       25171011              1
        TMJ-043       20230821       85949265              6
        YUQ-590       20230821       85949265              2
        ZEX-027       20230821       29337157              3
        TXM-139       20230821       43043986              3
        EJW-346       20230821       83505958              3
        JFC-432       20230821       38913831              3
        QFR-958       20230821       45783712              3
        TMJ-043       20230821       11602775              6
        VRR-793       20230821       81114108              4
        YJD-279       20230821       17913944              5
        FQG-293       20230821       55552996              1
        DUG-251       20230821       81114108              5
        TYF-885       20230821       62566305              4
        TZY-323       20230821       50365593              1
        VXS-438       20230821       89429489              1
        SAM-013       20230821       32904023              3
        CSZ-863       20230821       57690875              5
        EBI-299       20230821       40112594              3
        FLJ-040       20230821       40348917              2
        HLR-109       20230821       44229880              5
        WZD-331       20230821       40348917              3
        VXS-438       20230821       58187172              2
        LWG-915       20230822       27912250              1
        OPT-996       20230822       25171011              6
        HFC-845       20230822       36008913              6
        GXF-122       20230822       37110873              2
        YYK-309       20230822       64394265              6
        XLF-273       20230822       43488351              5
        ISU-815       20230822       32821689              1
        CIM-038       20230822       73535476              3
        TZY-323       20230822       26290971              5
        RSE-049       20230822       15210391              5
        DFF-034       20230822       78078115              2
        QTK-083       20230822       89298238              3
        XZR-640       20230822       78078115              5
        JYQ-045       20230822       15561764              6
        OQI-373       20230822       78757121              3
        PQH-935       20230822       71984468              2
