

Año: 2019 Mes: 1

FECHA            LICENCIA                        NOMBRE                         FALTA
========================================================================================================================
2019/01/02       15559308     BRAVO CORTES JANET FLOR                                            335
2019/01/02       16477908     BACA CAMACHO MILAGROS NATALIA                                      115
2019/01/02       47844324     VILCA LEE NESTOR HUGO                                              329
2019/01/03       15115705     HERNANDEZ CORRALES GUILLERMO                                       170
2019/01/04       90467829     IPARRAGUIRRE PEREZ NICOLAS                                         170
2019/01/04       70414420     AVILA REYES TATIANA                                                338
2019/01/05       68310808     CANO POLO MILAGROS ISABEL                                          306
2019/01/05       81485316     JUSTINO MARTINEZ ENRIQUE                                           327
2019/01/06       31107104     MOSCOSO ARIAS FIORELLA                                             154
2019/01/06       60335381     DIAZ TANG ENRIQUE                                                  337
2019/01/07       79766395     FUENTES ESCALANTE PATRICIA ELIZABETH                               305
2019/01/08       77763722     FARFAN SALAZAR MARGOT                                              115
2019/01/09       79672079     CONTRERAS CHANG JOHANA CINTHIA                                     305
2019/01/09       15029228     VALVERDE MAEIREIZO MELVIN JAIR                                     304
2019/01/09       35671623     EPIQUEN YEP GUIDA VICTORIA                                         157
2019/01/10       26522329     SANCHEZ DEL CASTILLO FIORELLA ROSARIO                              323
2019/01/10       88167677     PRADO VERA JUAN                                                    148
2019/01/12       19963454     SALAMANCA CABRERA NESTOR EVERT                                     111
2019/01/12       81485316     JUSTINO MARTINEZ ENRIQUE                                           320
2019/01/12       45043076     VEGA VILCARA CARMELA TERESA                                        334
2019/01/14       77367073     JAUREGUI DEL CASTILLO VICTOR RICARDO                               336
2019/01/16       34976629     LOZADA ARGUEDAS FELICITA VALENTINA                                 334
2019/01/16       47528229     SAAVEDRA GONZALES WILMER                                           149
2019/01/16       35683701     DIAZ MOYA ELIA ANNIE                                               314
2019/01/16       27864822     FIGUEROA MEDINA MADELEINE                                          318
2019/01/17       77367073     JAUREGUI DEL CASTILLO VICTOR RICARDO                               132
2019/01/18       84186239     RIVERO CORONADO HECTOR ALONSO                                      330
2019/01/18       48878256     RAFFO CORONADO ROLANDO                                             310
2019/01/19       30046639     SALAMANCA VEGA VIRGINIA MARTHA                                     136
2019/01/20       25518120     RONDON CABRERA ALEXANDER ADOLFO                                    103
2019/01/20       73567806     ARCA SANCHEZ MAGALI BEATRIZ                                        306
2019/01/21       85501710     VIZCARDO SINCHE MARIBEL                                            206
2019/01/21       53853385     SOLIS NARVAEZ MARIA MADELEINE                                      323
2019/01/22       52002275     CASANOVA ZEGARRA MARITZA                                           117
2019/01/22       81799482     CERNA CERNA CINTHIA                                                309
2019/01/23       64532449     INFANTES MERCADO LUIS WALDEMAR                                     162
2019/01/25       64532449     INFANTES MERCADO LUIS WALDEMAR                                     108
