Fecha         Licencia   Placa       Infraccion         Monto   Descuento   Puntos   Meses Susp
------------------------------------------------------------------------------------------------------------------------
2020/01/01    58992942   V7O-315     Grave              316.00      0.25       100         0
2020/01/02    45043076   S7E-946     Grave              316.00      0.25       100         0
2020/01/02    29989682   B1J-773     Leve               158.00      0.50         0         0
2020/01/03    82031355   Z5D-724     Muy Grave         1975.00      0.00       800         3
2020/01/04    88167677   O0C-616     Grave              316.00      0.25       100         0
2020/01/04    79641328   X8Q-687     Muy Grave            0.00      0.00      2000        12
2020/01/06    89941095   P6N-119     Muy Grave          474.00      0.00       500         0
2020/01/06    34976629   I0Y-720     Muy Grave          711.00      0.00       600         1
2020/01/06    73357516   J2K-636     Grave              316.00      0.25       100         0
2020/01/07    87495937   M5G-669     Grave              316.00      0.25       100         0
2020/01/08    31107104   E0I-722     Grave              316.00      0.25       100         0
2020/01/08    81485316   J5T-691     Muy Grave          474.00      0.00       500         0
2020/01/09    87282766   S1D-093     Muy Grave          474.00      0.00       500         0
2020/01/10    34248357   H4R-733     Muy Grave          474.00      0.00       500         0
2020/01/10    53853385   O5L-856     Muy Grave          948.00      0.00       600         1
2020/01/10    77367073   N7K-403     Grave              316.00      0.25       100         0
2020/01/11    21621497   R5I-860     Grave              316.00      0.25       100         0
2020/01/11    79641328   X8Q-687     Grave              316.00      0.25       200         0
2020/01/11    39544560   N4J-043     Muy Grave          474.00      0.00       500         0
2020/01/12    49927087   X3E-271     Grave              316.00      0.25       100         0
2020/01/13    82870470   K0H-387     Grave              316.00      0.25       200         0
2020/01/13    13628871   F3E-797     Muy Grave         1975.00      0.00       800         3
2020/01/15    73972114   A2F-518     Grave              316.00      0.25       200         0
2020/01/15    79672079   O3H-954     Grave              316.00      0.25       100         0
2020/01/15    53853385   O5L-856     Muy Grave          948.00      0.00       600         1
2020/01/16    53853385   R6P-267     Grave              316.00      0.25       100         0
2020/01/18    27864822   S3D-133     Grave              316.00      0.25       100         0
2020/01/19    71832810   T1K-210     Grave              316.00      0.25       100         0
2020/01/19    25518120   U1X-768     Grave              316.00      0.25       100         0
2020/01/19    13628871   F3E-797     Grave              316.00      0.25       100         0
2020/01/20    54141214   Y9G-536     Muy Grave          474.00      0.00       500         0
2020/01/20    67185679   F1F-571     Leve               158.00      0.50         0         0
2020/01/21    27864822   S3D-133     Grave              316.00      0.25       100         0
2020/01/21    77763722   A1Q-612     Muy Grave            0.00      0.00      2000        12
2020/01/22    79766395   N6D-256     Muy Grave          474.00      0.00       500         0
2020/01/22    73567806   Q9D-870     Muy Grave         1975.00      0.00       800         3
2020/01/22    81528434   D6F-465     Grave              316.00      0.25       100         0
2020/01/23    73567806   W9Z-281     Muy Grave         5925.00      0.00      2000         6
2020/01/23    48878256   Z4L-514     Grave              316.00      0.25       200         0
2020/01/24    19963454   D9A-711     Muy Grave          474.00      0.00       500         0
2020/01/24    32244565   K4F-319     Muy Grave          474.00      0.00       500         0
2020/01/24    73567806   E2D-493     Muy Grave          948.00      0.00       600         1
2020/01/25    73567806   Q9D-870     Grave              316.00      0.25       200         0
2020/01/26    36079131   I0W-872     Grave              316.00      0.25       100         0
2020/01/26    81528434   B3U-020     Muy Grave          948.00      0.00       600         1
2020/01/26    73972114   J2M-606     Muy Grave          474.00      0.00       500         0
2020/01/27    89314225   C3A-423     Grave              316.00      0.25       100         0
2020/01/27    97849227   I0K-077     Grave              316.00      0.25       100         0
2020/01/27    77763722   Q4P-612     Muy Grave          948.00      0.00       600         1
2020/01/27    32090869   L4B-291     Muy Grave          474.00      0.00       500         0
2020/01/27    60784914   C6Q-548     Leve               158.00      0.50         0         0
2020/01/29    31107104   O3T-110     Grave              316.00      0.25       100         0
2020/01/29    29833157   S2N-896     Grave              316.00      0.25       100         0
2020/01/30    19963454   X9O-440     Muy Grave          948.00      0.00       600         1
2020/02/01    29833157   I5K-310     Muy Grave          474.00      0.00       500         0
2020/02/02    27185429   U3F-754     Grave              316.00      0.25       100         0
2020/02/02    75348522   X0D-655     Grave              316.00      0.25       100         0
2020/02/03    88167677   B4C-100     Grave              316.00      0.25       100         0
2020/02/04    37080813   P7E-145     Grave              316.00      0.25       100         0
2020/02/04    73357516   G0B-604     Grave              316.00      0.25       100         0
2020/02/04    30441350   X0F-315     Muy Grave          474.00      0.00       500         0
2020/02/04    30046639   S3F-021     Grave              316.00      0.25       200         0
2020/02/05    80457845   M7F-612     Grave              316.00      0.25       100         0
2020/02/05    52002275   C0S-417     Grave              316.00      0.25       100         0
2020/02/05    26522329   W7R-114     Muy Grave            0.00      0.00      2000        12
2020/02/05    64532449   K8R-348     Grave              316.00      0.25       200         0
2020/02/05    90467829   H1R-953     Grave              316.00      0.25       100         0
2020/02/05    32244565   K4F-319     Muy Grave          474.00      0.00       500         0
